,Id,SalePrice
0,1461,120500
1,1462,157900
2,1463,181000
3,1464,181000
4,1465,180000
5,1466,178000
6,1467,177500
7,1468,185000
8,1469,180000
9,1470,120500
10,1471,189000
11,1472,89500
12,1473,88000
13,1474,147000
14,1475,125000
15,1476,335000
16,1477,233170
17,1478,266000
18,1479,319000
19,1480,386250
20,1481,285000
21,1482,202500
22,1483,185000
23,1484,160200
24,1485,170000
25,1486,183500
26,1487,348000
27,1488,232000
28,1489,208300
29,1490,175000
30,1491,180000
31,1492,88000
32,1493,174000
33,1494,290000
34,1495,225000
35,1496,191000
36,1497,196500
37,1498,151000
38,1499,151000
39,1500,151000
40,1501,172500
41,1502,151000
42,1503,394432
43,1504,230000
44,1505,221000
45,1506,190000
46,1507,260000
47,1508,190000
48,1509,154000
49,1510,140000
50,1511,140000
51,1512,143000
52,1513,140000
53,1514,130000
54,1515,135000
55,1516,187000
56,1517,155000
57,1518,143000
58,1519,233170
59,1520,141000
60,1521,154000
61,1522,167000
62,1523,100000
63,1524,141000
64,1525,112500
65,1526,119000
66,1527,145000
67,1528,110000
68,1529,140000
69,1530,167000
70,1531,175000
71,1532,119000
72,1533,170000
73,1534,105000
74,1535,131000
75,1536,139000
76,1537,120500
77,1538,152000
78,1539,163000
79,1540,140000
80,1541,147000
81,1542,140000
82,1543,234000
83,1544,80000
84,1545,95000
85,1546,114500
86,1547,175000
87,1548,97500
88,1549,110000
89,1550,135000
90,1551,125000
91,1552,107400
92,1553,153575
93,1554,128000
94,1555,165500
95,1556,78000
96,1557,87000
97,1558,80000
98,1559,118500
99,1560,106000
100,1561,130000
101,1562,130000
102,1563,130000
103,1564,170000
104,1565,135000
105,1566,197500
106,1567,80000
107,1568,211000
108,1569,135000
109,1570,140000
110,1571,107000
111,1572,157000
112,1573,233170
113,1574,145000
114,1575,175000
115,1576,270000
116,1577,198900
117,1578,128000
118,1579,148000
119,1580,191000
120,1581,156000
121,1582,112500
122,1583,440000
123,1584,274300
124,1585,131500
125,1586,80000
126,1587,119000
127,1588,140000
128,1589,121600
129,1590,171000
130,1591,108500
131,1592,158000
132,1593,141000
133,1594,98000
134,1595,87000
135,1596,170000
136,1597,154300
137,1598,170000
138,1599,142500
139,1600,189000
140,1601,60000
141,1602,110000
142,1603,83000
143,1604,275000
144,1605,230000
145,1606,181500
146,1607,150900
147,1608,230000
148,1609,186000
149,1610,167500
150,1611,140000
151,1612,192000
152,1613,192000
153,1614,119500
154,1615,88000
155,1616,88000
156,1617,88000
157,1618,130000
158,1619,124500
159,1620,151400
160,1621,147000
161,1622,169500
162,1623,324000
163,1624,193000
164,1625,129900
165,1626,180500
166,1627,181000
167,1628,250000
168,1629,170000
169,1630,278000
170,1631,181000
171,1632,251000
172,1633,170000
173,1634,175000
174,1635,174000
175,1636,176000
176,1637,190000
177,1638,190000
178,1639,180000
179,1640,260000
180,1641,180000
181,1642,189000
182,1643,189000
183,1644,189000
184,1645,280000
185,1646,170000
186,1647,170000
187,1648,140000
188,1649,135000
189,1650,120500
190,1651,120500
191,1652,83000
192,1653,94500
193,1654,155000
194,1655,127500
195,1656,148500
196,1657,155000
197,1658,148500
198,1659,125000
199,1660,145000
200,1661,485000
201,1662,446261
202,1663,372500
203,1664,415298
204,1665,297000
205,1666,255500
206,1667,303477
207,1668,315500
208,1669,209500
209,1670,295493
210,1671,260400
211,1672,386250
212,1673,309000
213,1674,227000
214,1675,194700
215,1676,196000
216,1677,230000
217,1678,386250
218,1679,350000
219,1680,318061
220,1681,264132
221,1682,285000
222,1683,207000
223,1684,174000
224,1685,174000
225,1686,160200
226,1687,170000
227,1688,190000
228,1689,195000
229,1690,180000
230,1691,178000
231,1692,263000
232,1693,170000
233,1694,185000
234,1695,170000
235,1696,290000
236,1697,170000
237,1698,305000
238,1699,350000
239,1700,280000
240,1701,240000
241,1702,318000
242,1703,293077
243,1704,318000
244,1705,202500
245,1706,745000
246,1707,250580
247,1708,250580
248,1709,315500
249,1710,202500
250,1711,239900
251,1712,370878
252,1713,240000
253,1714,201000
254,1715,183000
255,1716,194500
256,1717,142500
257,1718,130000
258,1719,195000
259,1720,190000
260,1721,155000
261,1722,144000
262,1723,140000
263,1724,244600
264,1725,215000
265,1726,175900
266,1727,180000
267,1728,175900
268,1729,178000
269,1730,178000
270,1731,122000
271,1732,120500
272,1733,109500
273,1734,135500
274,1735,142000
275,1736,115000
276,1737,369900
277,1738,231500
278,1739,250000
279,1740,392500
280,1741,230000
281,1742,172500
282,1743,183900
283,1744,242000
284,1745,324000
285,1746,170000
286,1747,225000
287,1748,193500
288,1749,160000
289,1750,140000
290,1751,226000
291,1752,130000
292,1753,167000
293,1754,192000
294,1755,145000
295,1756,110000
296,1757,129900
297,1758,130000
298,1759,215000
299,1760,163000
300,1761,155000
301,1762,215000
302,1763,215000
303,1764,112500
304,1765,167000
305,1766,180500
306,1767,242000
307,1768,141000
308,1769,140000
309,1770,155000
310,1771,139000
311,1772,170000
312,1773,139000
313,1774,125000
314,1775,128000
315,1776,55993
316,1777,115000
317,1778,134500
318,1779,98300
319,1780,143000
320,1781,125000
321,1782,110000
322,1783,139000
323,1784,112000
324,1785,119000
325,1786,135000
326,1787,140000
327,1788,80000
328,1789,120500
329,1790,80000
330,1791,200000
331,1792,160000
332,1793,151000
333,1794,147000
334,1795,136000
335,1796,140000
336,1797,114500
337,1798,133700
338,1799,110000
339,1800,140000
340,1801,135000
341,1802,141500
342,1803,140000
343,1804,135000
344,1805,154500
345,1806,128000
346,1807,137000
347,1808,147000
348,1809,135000
349,1810,170000
350,1811,98000
351,1812,87000
352,1813,125500
353,1814,58500
354,1815,35311
355,1816,100000
356,1817,139000
357,1818,117500
358,1819,125500
359,1820,91000
360,1821,128000
361,1822,154000
362,1823,91000
363,1824,91000
364,1825,139000
365,1826,125000
366,1827,134500
367,1828,133000
368,1829,145000
369,1830,145000
370,1831,137450
371,1832,107500
372,1833,177000
373,1834,132000
374,1835,130000
375,1836,125000
376,1837,105000
377,1838,135000
378,1839,80000
379,1840,126000
380,1841,127000
381,1842,112000
382,1843,138500
383,1844,135000
384,1845,140000
385,1846,140000
386,1847,155000
387,1848,80000
388,1849,130000
389,1850,128900
390,1851,188700
391,1852,118000
392,1853,124500
393,1854,147000
394,1855,143500
395,1856,189000
396,1857,115000
397,1858,142953
398,1859,118858
399,1860,153337
400,1861,118858
401,1862,290000
402,1863,290000
403,1864,290000
404,1865,367294
405,1866,320000
406,1867,244600
407,1868,318061
408,1869,193879
409,1870,194000
410,1871,232000
411,1872,163990
412,1873,189000
413,1874,126000
414,1875,192000
415,1876,231500
416,1877,192000
417,1878,221000
418,1879,128200
419,1880,140000
420,1881,266000
421,1882,255000
422,1883,227000
423,1884,230000
424,1885,235000
425,1886,230000
426,1887,208900
427,1888,232000
428,1889,156932
429,1890,129000
430,1891,148000
431,1892,129900
432,1893,125000
433,1894,130000
434,1895,144500
435,1896,160000
436,1897,160000
437,1898,105000
438,1899,67000
439,1900,78000
440,1901,140000
441,1902,60000
442,1903,239000
443,1904,141000
444,1905,167000
445,1906,127000
446,1907,163000
447,1908,124000
448,1909,124000
449,1910,124000
450,1911,178000
451,1912,242000
452,1913,140000
453,1914,68500
454,1915,392500
455,1916,100000
456,1917,230000
457,1918,125000
458,1919,135000
459,1920,179200
460,1921,378500
461,1922,293077
462,1923,215000
463,1924,175000
464,1925,200000
465,1926,440000
466,1927,134500
467,1928,179900
468,1929,124900
469,1930,145000
470,1931,148000
471,1932,124000
472,1933,179900
473,1934,181000
474,1935,174000
475,1936,181000
476,1937,169000
477,1938,181000
478,1939,324000
479,1940,180000
480,1941,175000
481,1942,187000
482,1943,180000
483,1944,309000
484,1945,315000
485,1946,149500
486,1947,318061
487,1948,149500
488,1949,175000
489,1950,175500
490,1951,244000
491,1952,157000
492,1953,160000
493,1954,205000
494,1955,110000
495,1956,250000
496,1957,180000
497,1958,290000
498,1959,135000
499,1960,129000
500,1961,120500
501,1962,100000
502,1963,94500
503,1964,119500
504,1965,148500
505,1966,140000
506,1967,256300
507,1968,415298
508,1969,315000
509,1970,320000
510,1971,424870
511,1972,250000
512,1973,339750
513,1974,309000
514,1975,385000
515,1976,232000
516,1977,412500
517,1978,412500
518,1979,372500
519,1980,202500
520,1981,315500
521,1982,254000
522,1983,254000
523,1984,173000
524,1985,246578
525,1986,232000
526,1987,159895
527,1988,180000
528,1989,180000
529,1990,215000
530,1991,230000
531,1992,230000
532,1993,178000
533,1994,230000
534,1995,185000
535,1996,258000
536,1997,285000
537,1998,350000
538,1999,250000
539,2000,290000
540,2001,250000
541,2002,220000
542,2003,239000
543,2004,339750
544,2005,265900
545,2006,250580
546,2007,318000
547,2008,186000
548,2009,207500
549,2010,180000
550,2011,130000
551,2012,176485
552,2013,175900
553,2014,201000
554,2015,187000
555,2016,207500
556,2017,175900
557,2018,115000
558,2019,138500
559,2020,130000
560,2021,110000
561,2022,170000
562,2023,160000
563,2024,260000
564,2025,260000
565,2026,185000
566,2027,151000
567,2028,146000
